,Unnamed: 0,elo,championName,win,kills,assists,deaths,individualPosition,totalMinionsKilled,goldEarned,dragonKills,totalDamageDealtToChampions,totalDamageTaken,turretTakedowns,baronKills,damageDealtToBuildings,damageDealtToObjectives,detectorWardsPlaced,inhibitorTakedowns,neutralMinionsKilled,wardsKilled,wardsPlaced,visionScore,summoner2Id,summoner1Id
12,12,DIAMOND IV,Ekko,False,8,3,10,MIDDLE,167,15220,0,25418,29645,3,0,7497,16120,2,0,28,9,6,40,14,4
13,13,PLATINUM II,Samira,False,8,5,9,BOTTOM,232,13679,0,24891,26924,0,0,1735,13505,4,0,20,6,13,28,4,3
14,14,PLATINUM III,Amumu,False,1,14,10,UTILITY,47,7709,0,13267,24305,0,0,465,2960,4,0,0,8,31,50,14,4
15,15,DIAMOND III,Aatrox,True,3,9,7,TOP,157,10462,0,21998,34966,2,0,3013,7588,1,0,28,2,7,15,14,4
16,16,DIAMOND IV,Graves,True,18,13,6,JUNGLE,44,16491,1,25577,35099,4,0,5520,24058,5,1,112,15,26,81,11,4
17,17,PLATINUM I,Lissandra,True,11,24,3,MIDDLE,180,14900,0,30619,28056,2,0,1930,11907,9,1,5,4,20,46,12,4
18,18,DIAMOND I,Ezreal,True,10,16,5,BOTTOM,192,14856,1,35212,15275,4,1,7715,16507,0,0,16,2,8,14,7,4
19,19,DIAMOND IV,Sona,True,3,30,5,UTILITY,14,9796,0,12374,17066,4,0,4256,6712,3,1,0,12,28,77,4,14
20,20,DIAMOND IV,Olaf,False,3,1,5,TOP,127,7107,0,8805,17883,0,0,869,869,0,0,0,0,4,5,4,6
21,21,PLATINUM IV,Kayn,False,1,0,3,JUNGLE,43,6647,0,3761,20152,0,0,0,4092,1,0,100,2,2,16,11,4
22,22,PLATINUM I,Lux,False,3,1,4,MIDDLE,160,8596,0,7993,8243,0,0,594,4404,1,0,0,1,7,15,4,21
23,23,DIAMOND IV,Kaisa,False,0,2,6,BOTTOM,129,5788,0,7863,9983,0,0,0,0,2,0,4,2,8,12,1,4
24,24,PLATINUM I,Nautilus,False,1,4,7,UTILITY,30,4676,0,3177,12929,0,0,0,0,6,0,0,4,16,25,3,4
25,25,PLATINUM I,Singed,True,2,4,0,TOP,152,8576,0,6000,10165,5,0,4756,10308,1,1,4,1,7,15,4,14
26,26,PLATINUM II,Maokai,True,2,13,1,JUNGLE,12,8072,2,6273,17784,2,1,905,31765,4,1,93,1,5,15,4,11
27,27,DIAMOND IV,Cassiopeia,True,7,7,3,MIDDLE,117,9841,0,14975,14667,1,0,974,13653,4,0,23,0,10,17,21,4
28,28,DIAMOND III,Twitch,True,10,6,2,BOTTOM,124,10747,1,17628,9032,6,0,8487,20689,1,1,24,5,7,24,4,7
29,29,PLATINUM I,Braum,True,4,14,3,UTILITY,28,7149,0,6433,11616,4,0,377,1589,2,1,0,6,13,43,4,14
30,30,PLATINUM II,Aatrox,False,6,5,5,TOP,157,12171,0,25467,35377,4,0,5886,13732,2,0,24,3,11,23,14,4
31,31,PLATINUM III,Ekko,False,4,4,10,JUNGLE,38,10185,0,14483,32761,0,0,0,17259,2,0,100,5,4,22,11,4
32,32,PLATINUM I,Akali,False,5,5,8,MIDDLE,124,9280,0,18752,28738,2,0,1503,1503,1,0,0,3,9,21,14,12
33,33,DIAMOND IV,Jhin,False,6,8,5,BOTTOM,180,10965,0,15356,16504,1,0,1052,1460,2,0,0,1,11,19,7,4
34,34,PLATINUM I,Thresh,False,3,10,6,UTILITY,45,8231,0,9700,19696,1,0,306,306,5,0,0,6,22,43,14,4
35,35,PLATINUM I,Illaoi,True,9,3,7,TOP,202,14068,0,30271,38700,4,0,5347,8185,2,0,4,3,11,27,12,4
36,36,PLATINUM I,Ivern,True,3,13,6,JUNGLE,30,11350,1,14248,18651,2,1,3121,27560,4,1,132,3,8,33,4,11
37,37,PLATINUM II,Leblanc,True,6,9,2,MIDDLE,147,12250,0,22017,20099,5,0,5685,7747,1,1,4,3,9,28,4,14
38,38,PLATINUM IV,Kaisa,True,12,6,6,BOTTOM,219,14664,0,30449,16866,5,0,5079,22132,4,2,23,9,12,40,1,4
39,39,PLATINUM I,Morgana,True,4,16,3,UTILITY,24,9066,2,11108,9994,2,0,745,6091,7,1,8,4,23,54,3,4
40,40,PLATINUM III,Nasus,False,0,0,4,TOP,89,4150,0,2371,13028,0,0,0,282,0,0,0,0,4,5,12,6
41,41,PLATINUM IV,Maokai,False,1,2,3,JUNGLE,4,4441,0,3031,10975,0,0,0,1303,0,0,51,0,4,7,4,11
42,42,PLATINUM II,Gwen,False,2,0,6,MIDDLE,85,5041,0,9139,13550,0,0,0,0,0,0,0,1,3,5,14,6
43,43,PLATINUM II,Ashe,False,0,1,2,BOTTOM,68,3827,0,2787,5864,0,0,0,624,3,0,8,0,7,9,21,4
44,44,PLATINUM IV,Soraka,False,0,1,2,UTILITY,20,3359,0,1899,4360,0,0,0,0,2,0,0,2,12,20,3,4
45,45,DIAMOND IV,Aatrox,True,4,2,1,TOP,130,8075,0,9777,8141,4,0,5892,5892,1,1,8,0,6,11,4,12
46,46,DIAMOND IV,Ekko,True,7,4,1,JUNGLE,17,9194,1,8939,13385,3,0,1258,16585,1,1,96,0,1,9,4,11
47,47,PLATINUM III,Sylas,True,2,6,0,MIDDLE,96,6814,0,9508,11323,2,0,2353,2353,1,0,4,0,6,9,4,12
48,48,PLATINUM IV,Kaisa,True,4,0,0,BOTTOM,149,7971,1,5460,4574,1,0,2408,9080,1,0,12,2,5,15,1,4
49,49,PLATINUM I,Lulu,True,0,3,1,UTILITY,4,3847,0,2427,3170,0,0,227,982,3,0,0,3,13,28,3,4
50,50,DIAMOND IV,Gangplank,False,2,10,9,TOP,159,10348,0,24621,23578,0,0,0,316,0,0,0,2,9,15,4,14
51,51,PLATINUM III,Diana,False,3,7,10,JUNGLE,21,10874,1,14253,29660,0,0,0,14865,0,0,157,4,2,17,11,4
52,52,PLATINUM IV,Vex,False,4,6,7,MIDDLE,181,10485,0,26354,19788,0,0,1049,2556,0,0,0,1,8,14,12,4
53,53,PLATINUM III,Kaisa,False,10,4,5,BOTTOM,228,14537,1,29197,22245,1,0,2846,5871,4,0,8,3,16,27,7,4
54,54,PLATINUM II,Amumu,False,1,9,9,UTILITY,26,6391,0,6609,23481,0,0,77,2119,1,0,0,4,23,45,4,14
55,55,PLATINUM I,Chogath,True,13,9,8,TOP,168,14376,1,28139,45829,4,1,4260,14490,1,0,8,0,11,19,12,4
56,56,PLATINUM III,Elise,True,6,8,3,JUNGLE,25,12477,1,15199,21310,2,0,4163,39532,2,0,176,5,4,36,4,11
57,57,PLATINUM III,Akali,True,8,15,2,MIDDLE,202,13079,0,24646,26427,1,0,1850,4371,4,0,0,1,14,30,4,14
58,58,PLATINUM IV,Ashe,True,13,10,3,BOTTOM,214,14566,0,31848,16323,1,0,3838,22309,3,0,0,7,9,25,1,4
59,59,PLATINUM I,Janna,True,0,23,4,UTILITY,14,8144,0,3329,14051,2,0,1246,2610,8,0,2,7,28,59,3,4
60,60,PLATINUM IV,TahmKench,False,10,8,5,TOP,219,16672,0,35086,50953,4,0,8762,25363,1,0,12,4,10,43,4,14
61,61,SILVER III,Zed,False,14,10,11,JUNGLE,47,18312,2,34426,44906,1,2,830,33280,7,0,162,9,9,37,11,4
62,62,PLATINUM I,Galio,False,2,18,8,MIDDLE,181,11991,0,23288,39548,0,0,0,5977,10,0,4,1,24,39,12,4
63,63,PLATINUM I,MissFortune,False,4,10,13,BOTTOM,127,12075,0,14622,29754,2,0,2451,4120,1,0,3,4,11,21,7,4
64,64,DIAMOND IV,Lux,False,6,14,9,UTILITY,50,11871,0,27329,22973,2,0,662,7200,15,0,8,14,43,105,4,14
65,65,PLATINUM IV,Udyr,True,2,9,6,TOP,185,10939,0,13129,35987,1,0,977,3473,2,0,4,7,13,33,12,6
66,66,PLATINUM III,Maokai,True,7,16,8,UTILITY,51,11634,0,13155,33903,3,0,1579,2504,8,1,0,14,29,73,14,4
67,67,DIAMOND I,Ahri,True,3,14,5,MIDDLE,289,15582,0,30787,28513,3,0,4388,5507,2,0,38,10,17,55,4,14
68,68,PLATINUM II,Kaisa,True,12,14,7,BOTTOM,227,18349,0,40808,27849,4,0,4825,32631,0,1,37,7,14,32,3,4
69,69,DIAMOND IV,Khazix,True,22,6,10,JUNGLE,59,21508,4,56632,44670,2,0,2328,49979,3,1,210,5,4,26,11,4
70,70,PLATINUM III,Fiora,False,4,10,10,TOP,137,11910,0,21375,43891,0,0,0,4552,0,0,28,6,7,23,14,4
71,71,GOLD I,Mordekaiser,False,8,14,5,JUNGLE,55,17022,3,37171,52751,6,0,2822,44470,0,2,170,6,1,16,11,4
72,72,SILVER II,Lux,False,7,15,5,MIDDLE,194,13734,0,37849,18523,2,0,1763,2985,2,1,8,7,13,25,14,4
73,73,PLATINUM IV,MissFortune,False,8,9,4,BOTTOM,227,16649,0,34764,19189,6,0,10384,23397,5,2,36,13,19,78,1,4
74,74,MASTER I,Soraka,False,2,16,4,UTILITY,20,9578,0,3225,9701,4,0,1175,2814,5,2,0,9,38,87,21,4
75,75,PLATINUM IV,Camille,True,11,4,9,TOP,197,16677,1,32091,51237,3,1,5274,24836,3,0,40,1,17,27,12,4
76,76,SILVER III,XinZhao,True,10,13,9,JUNGLE,33,16455,1,41676,52399,3,1,4913,30450,7,1,166,9,7,30,11,4
77,77,PLATINUM I,Anivia,True,5,8,4,MIDDLE,247,15106,0,23242,30380,3,0,1343,18933,3,0,21,3,23,51,12,4
78,78,PLATINUM I,Caitlyn,True,2,7,4,BOTTOM,239,14022,1,13705,20088,3,0,5263,14425,0,1,8,5,11,24,14,4
79,79,GOLD II,Zilean,True,0,18,3,UTILITY,48,10094,0,6458,22364,4,0,1754,3639,6,1,0,10,43,83,4,7
80,80,PLATINUM I,Syndra,False,1,4,2,MIDDLE,136,7687,0,11039,10717,0,0,0,571,6,0,0,3,16,30,12,4
81,81,GOLD II,Viego,False,5,4,6,JUNGLE,27,9370,1,11406,29231,0,0,0,6823,0,0,107,4,6,16,11,4
82,82,GOLD II,Lulu,False,2,6,7,UTILITY,7,6387,0,5552,16346,0,0,0,98,4,0,0,5,17,32,14,4
83,83,SILVER IV,Xayah,False,4,6,5,BOTTOM,182,10267,0,20464,16427,0,0,800,3832,5,0,6,2,12,27,3,4
84,84,GOLD III,Sett,False,6,3,10,TOP,122,9044,0,17165,28751,1,0,2880,9452,2,0,0,1,10,15,12,4
85,85,PLATINUM IV,Chogath,True,11,9,5,TOP,163,15020,0,25846,34881,6,0,7778,22733,1,0,25,4,9,20,4,12
86,86,PLATINUM IV,Ivern,True,4,22,0,JUNGLE,19,10617,2,8259,8907,3,1,1215,8105,2,1,126,5,3,31,11,4
87,87,PLATINUM IV,Kaisa,True,10,8,5,BOTTOM,170,13275,0,23719,15354,5,0,7540,34000,1,1,16,4,9,22,7,4
88,88,GOLD III,Braum,True,1,16,5,UTILITY,34,7702,0,6535,15861,2,0,682,2936,2,1,0,8,14,33,14,4
89,89,GOLD II,Xerath,True,4,14,3,MIDDLE,113,10138,0,21851,15684,2,0,1663,3612,5,1,4,6,11,27,12,4
90,90,GOLD IV,Vex,False,0,9,6,MIDDLE,203,11609,0,14463,21963,3,0,4881,6102,3,1,30,0,10,25,12,4
91,91,GOLD IV,Nautilus,False,3,14,4,UTILITY,39,9594,0,9724,23187,2,0,186,4262,8,0,6,13,33,87,4,14
92,92,PLATINUM IV,Yone,False,9,5,6,TOP,211,15939,0,36034,39179,3,0,5391,14508,1,0,35,5,6,17,14,4
93,93,PLATINUM III,Tristana,False,8,6,2,BOTTOM,238,16214,0,25808,25872,4,0,8386,22738,7,0,42,10,17,37,4,7
94,94,GOLD IV,Hecarim,False,5,2,5,JUNGLE,42,13075,3,13939,43056,0,0,126,42414,2,0,205,5,4,29,11,6
95,95,PLATINUM I,Heimerdinger,True,2,10,3,MIDDLE,230,13798,0,26854,17926,3,0,4628,14400,7,1,16,5,20,31,12,4
96,96,GOLD II,Sejuani,True,2,15,6,JUNGLE,66,12082,2,19755,40854,4,2,1002,31069,4,1,115,9,5,28,11,4
97,97,GOLD II,Yuumi,True,2,13,1,UTILITY,4,8598,0,5547,6195,3,0,0,1055,7,0,0,3,16,27,3,7
98,98,GOLD III,Darius,True,11,3,9,TOP,179,13878,0,24242,40538,2,0,2952,9305,2,1,0,7,11,34,6,4
99,99,SILVER IV,MissFortune,True,6,7,6,BOTTOM,253,15798,0,36946,25311,4,0,7028,28561,8,1,12,5,20,43,14,4
100,100,GOLD I,Lulu,False,0,1,5,UTILITY,10,4723,0,3128,13385,0,0,236,236,3,0,0,2,17,31,3,4
101,101,GOLD III,Zeri,False,1,0,2,BOTTOM,150,7137,0,8055,9266,0,0,790,1975,2,0,5,1,9,17,4,6
102,102,GOLD IV,Teemo,False,3,2,8,TOP,127,8199,0,12867,14560,1,0,2893,6472,3,0,4,4,11,27,14,4
103,103,SILVER I,Yone,False,2,1,7,MIDDLE,166,8269,0,9429,18274,1,0,1504,3198,2,0,0,3,9,17,14,4
104,104,SILVER IV,Poppy,False,2,3,3,JUNGLE,7,7213,1,4451,15733,0,0,268,16937,3,0,111,3,5,20,4,11
105,105,PLATINUM I,Syndra,True,5,7,0,MIDDLE,163,8584,0,13346,6110,0,0,615,3168,2,0,0,4,10,27,12,4
106,106,GOLD II,Sejuani,True,3,14,1,JUNGLE,20,8855,2,8755,17104,2,0,2474,18033,4,0,92,7,8,34,11,4
107,107,GOLD II,Yuumi,True,0,15,1,UTILITY,7,5391,0,3872,1744,1,0,0,893,6,0,0,2,10,22,3,7
108,108,GOLD III,Irelia,True,6,3,6,TOP,156,9437,0,13655,21433,2,0,3922,10309,6,0,0,4,8,23,14,4
109,109,SILVER IV,Twitch,True,11,2,0,BOTTOM,161,11143,0,19851,10359,1,0,767,13319,2,0,4,5,7,17,14,4
110,110,DIAMOND III,Ezreal,False,4,1,4,BOTTOM,129,7131,0,11446,8087,0,0,717,1355,1,0,4,1,6,10,12,4
111,111,DIAMOND III,Morgana,False,0,3,6,UTILITY,1,3820,0,5450,10007,0,0,0,337,2,0,0,1,13,22,3,4
112,112,PLATINUM I,Quinn,False,2,1,3,TOP,120,5732,0,7659,10165,0,0,0,0,2,0,0,1,7,12,14,4
113,113,PLATINUM I,Lillia,False,0,0,3,JUNGLE,21,4852,0,1560,13993,0,0,0,2475,1,0,76,1,5,10,4,11
114,114,BRONZE III,Sylas,False,1,0,5,MIDDLE,66,4239,0,4600,10547,0,0,0,1949,0,0,4,1,5,10,4,14
115,115,PLATINUM IV,Caitlyn,True,7,2,3,BOTTOM,104,7707,0,11406,9316,1,0,3970,4645,1,0,0,0,5,8,7,4
116,116,PLATINUM III,Diana,True,6,3,0,JUNGLE,16,9273,2,5771,11098,3,0,1053,31588,0,1,132,2,6,13,4,11
117,117,PLATINUM IV,Veigar,True,4,0,1,TOP,137,7954,0,6631,5625,5,0,4146,5417,0,1,0,0,6,10,4,21
118,118,GOLD IV,Sett,True,4,2,0,MIDDLE,119,8544,0,8035,9295,5,0,6225,10011,1,0,4,2,6,20,14,4
119,119,unrancked,Ashe,True,0,8,3,UTILITY,13,5254,0,4863,7587,1,0,965,1349,2,0,0,6,10,29,4,3
120,120,PLATINUM III,DrMundo,True,5,8,1,TOP,231,13533,0,20640,40401,6,0,7332,20371,2,1,13,5,13,35,12,4
121,121,GOLD I,Sejuani,True,9,16,3,JUNGLE,52,15592,5,18521,34978,4,0,1011,27088,1,1,172,9,6,36,11,4
122,122,GOLD III,Lux,True,10,17,3,MIDDLE,167,13513,0,35704,16932,2,0,2174,2545,3,1,4,4,16,48,14,4
123,123,PLATINUM IV,Caitlyn,True,8,11,4,BOTTOM,237,16191,0,28029,16709,6,0,12060,35483,1,1,12,6,13,34,4,7
124,124,GOLD IV,Amumu,True,0,16,7,UTILITY,36,9166,0,12909,25289,2,0,407,1014,5,1,12,8,36,70,3,4
125,125,SILVER II,Aatrox,False,3,5,6,TOP,217,11031,0,16634,34389,0,0,753,4014,3,0,4,5,12,29,14,4
126,126,PLATINUM IV,Lillia,False,8,9,11,JUNGLE,42,13841,0,45308,49400,1,0,0,19893,5,0,167,9,6,32,11,4
127,127,PLATINUM I,Taliyah,False,5,9,4,MIDDLE,219,13726,0,24695,16578,0,0,1517,4404,8,0,20,7,22,53,12,4
128,128,SILVER IV,Kaisa,False,2,6,2,BOTTOM,195,10870,0,10488,16356,1,0,1941,2180,1,0,4,7,8,26,4,1
129,129,SILVER IV,Nautilus,False,0,14,9,UTILITY,46,7756,0,8579,27826,0,0,246,1202,3,0,1,10,25,76,14,4
130,130,PLATINUM IV,Malphite,True,3,4,4,TOP,146,9623,0,15775,21606,3,0,6490,7837,1,1,8,1,9,15,4,12
131,131,PLATINUM IV,Kayn,True,6,18,6,JUNGLE,51,13526,2,27311,40401,3,0,2599,28555,5,0,160,3,7,27,11,4
132,132,GOLD IV,Ezreal,True,11,11,7,MIDDLE,143,13786,0,32218,18468,2,0,1473,8806,3,1,0,5,13,35,4,12
133,133,SILVER IV,MissFortune,True,13,10,2,BOTTOM,222,15851,0,32410,19665,6,0,5952,14644,8,1,14,7,17,46,1,4
134,134,PLATINUM I,Amumu,True,3,19,4,UTILITY,37,8599,0,5886,17801,1,0,197,3730,13,1,0,9,41,100,3,4
135,135,DIAMOND IV,Gnar,False,4,5,6,TOP,194,12542,0,22392,37050,1,0,1992,13078,3,0,19,2,11,29,4,12
136,136,PLATINUM III,Mordekaiser,False,4,7,8,JUNGLE,37,10576,2,21418,36221,0,0,619,11624,3,0,120,6,6,24,11,4
137,137,DIAMOND II,Lissandra,False,6,6,8,MIDDLE,185,10747,0,17518,21421,0,0,0,3143,1,0,0,4,9,29,14,4
138,138,PLATINUM IV,Kaisa,False,6,3,10,BOTTOM,191,12459,0,20970,30827,1,0,3780,18520,2,0,36,5,10,30,7,4
139,139,PLATINUM II,Lulu,False,3,10,4,UTILITY,15,7814,0,5855,14723,1,0,242,456,3,0,0,4,29,50,7,4
140,140,PLATINUM IV,Garen,False,2,3,7,TOP,169,9929,0,7983,24593,2,0,5830,6557,1,0,1,3,11,22,4,12
141,141,PLATINUM IV,Lillia,False,5,11,7,JUNGLE,77,13648,0,36272,33815,0,0,0,23475,8,0,149,4,9,28,11,4
142,142,GOLD IV,Sylas,False,7,6,10,MIDDLE,109,10773,0,13817,34017,0,0,0,129,5,0,0,0,16,27,4,14
143,143,SILVER IV,Caitlyn,False,9,9,9,BOTTOM,224,14770,0,23127,21468,0,0,842,13947,2,0,12,13,12,35,7,4
144,144,PLATINUM I,Nautilus,False,3,12,9,UTILITY,30,8748,1,6506,24449,0,0,373,1446,10,0,5,5,36,74,14,4
145,145,DIAMOND IV,Darius,True,11,7,5,TOP,246,19544,0,29798,34302,8,0,15244,25620,0,1,52,4,10,33,4,6
146,146,PLATINUM III,Amumu,True,3,16,5,JUNGLE,29,11686,2,16114,36078,4,2,2540,21758,3,3,130,6,4,30,11,4
147,147,GOLD III,Orianna,True,5,13,5,MIDDLE,177,12706,1,25037,13869,3,0,1424,13639,1,3,12,8,11,30,4,12
148,148,PLATINUM IV,MissFortune,True,19,10,5,BOTTOM,209,18408,0,27586,22078,3,0,3873,19352,2,2,32,10,13,36,4,7
149,149,PLATINUM I,Senna,True,4,23,6,UTILITY,36,12654,0,15158,14009,4,0,3246,19597,6,2,12,6,34,79,14,4
150,150,DIAMOND IV,Fiora,False,4,8,5,TOP,152,11951,0,23097,31441,3,0,6683,12410,1,0,0,3,9,18,12,4
151,151,GOLD III,Belveth,False,8,4,8,JUNGLE,35,12445,1,14726,27556,1,0,1328,24670,3,0,108,5,5,32,4,11
152,152,DIAMOND III,Katarina,False,6,9,8,MIDDLE,142,11085,0,18691,24998,1,0,910,910,0,0,8,4,7,16,4,14
153,153,PLATINUM IV,Sivir,False,4,6,5,BOTTOM,247,12367,0,18181,16258,2,0,1741,1741,0,0,12,5,9,23,7,4
154,154,PLATINUM II,Taric,False,3,13,7,UTILITY,31,7375,0,6787,22399,1,0,183,2623,1,0,0,9,10,32,4,14
155,155,PLATINUM IV,Garen,True,2,8,4,TOP,174,11329,0,8804,22411,5,0,8779,13823,0,1,8,3,8,19,4,12
156,156,PLATINUM IV,Lillia,True,8,18,7,JUNGLE,43,13042,1,31019,28708,0,1,0,15272,4,0,131,2,6,19,11,4
157,157,GOLD II,Ziggs,True,2,11,3,MIDDLE,208,12404,0,15085,11131,6,0,34145,35888,1,1,4,1,12,17,12,4
158,158,SILVER IV,MissFortune,True,21,8,4,BOTTOM,174,17045,1,40823,19079,3,0,4770,25569,4,1,21,2,13,29,7,4
159,159,PLATINUM I,Alistar,True,0,23,7,UTILITY,27,7743,0,6180,22757,3,0,256,1565,11,2,0,3,35,64,3,4
160,160,DIAMOND IV,Mordekaiser,False,2,2,5,TOP,197,8949,0,14095,26210,1,0,2633,2633,1,0,0,1,9,16,12,4
161,161,PLATINUM IV,Warwick,False,4,2,10,JUNGLE,7,8547,0,9749,35674,0,0,0,12700,0,0,112,0,3,9,11,6
162,162,DIAMOND IV,Kassadin,False,3,4,4,MIDDLE,185,9486,0,14267,21782,0,0,537,537,2,0,0,7,9,30,4,12
163,163,PLATINUM IV,Jhin,False,2,8,7,BOTTOM,181,11449,0,14025,17504,2,0,3742,6185,2,0,26,6,9,23,7,4
164,164,DIAMOND II,Swain,False,5,6,8,UTILITY,40,8968,0,16993,20985,0,0,76,197,2,0,0,4,16,36,14,4
165,165,unrancked,Olaf,True,2,1,2,TOP,164,9180,1,8382,20117,1,0,4984,8536,1,0,8,1,10,14,4,12
166,166,GOLD II,Lillia,True,9,15,7,JUNGLE,48,13045,2,33685,34756,1,0,486,19994,4,0,142,6,5,21,11,4
167,167,PLATINUM I,Taliyah,True,2,10,0,MIDDLE,149,8933,0,12122,11883,2,0,789,6262,6,1,4,2,17,30,12,4
168,168,DIAMOND III,MissFortune,True,19,9,6,BOTTOM,190,16336,0,32470,25799,6,0,7265,25224,3,1,12,1,11,21,7,4
169,169,DIAMOND III,Yuumi,True,2,26,1,UTILITY,3,8633,0,7380,6024,4,1,182,822,4,1,4,1,13,32,3,14
170,170,DIAMOND I,Camille,True,9,7,4,TOP,176,13037,0,22797,28289,2,0,5812,9455,2,2,8,4,11,22,12,14
171,171,PLATINUM III,Hecarim,True,7,10,3,JUNGLE,19,13129,4,21245,43690,3,1,2517,35313,7,1,193,6,9,38,11,6
172,172,PLATINUM I,Anivia,True,2,9,3,MIDDLE,201,11617,0,17323,20639,6,0,6878,25026,0,3,1,0,8,13,12,4
173,173,DIAMOND II,Samira,True,8,7,6,BOTTOM,202,13616,0,28558,24433,5,0,7858,14824,0,2,4,4,9,33,4,3
174,174,DIAMOND II,Yuumi,True,3,18,1,UTILITY,5,9193,0,10909,4972,7,0,2133,2133,4,3,4,2,20,46,7,14
175,175,PLATINUM I,Aatrox,False,1,5,10,TOP,155,8977,0,18643,40894,0,0,1344,1394,1,0,15,1,7,16,12,4
176,176,DIAMOND IV,Graves,False,4,8,4,JUNGLE,39,10547,0,15474,21177,0,0,191,12548,4,0,109,5,4,24,11,4
177,177,PLATINUM I,Taliyah,False,5,6,5,MIDDLE,200,10874,0,20413,23587,0,0,537,2272,1,0,8,4,9,18,14,4
178,178,PLATINUM I,Vayne,False,4,7,7,BOTTOM,199,11737,0,12363,20821,0,0,0,5660,3,0,9,1,6,21,7,4
179,179,DIAMOND II,Seraphine,False,3,8,3,UTILITY,19,7472,0,8710,10633,0,0,0,85,3,0,0,3,25,44,4,3
180,180,PLATINUM I,Nasus,False,3,1,4,TOP,129,7816,0,12510,23894,0,0,0,7502,0,0,12,0,9,14,4,6
181,181,PLATINUM I,Nami,False,1,3,6,UTILITY,7,6227,0,7425,13749,0,0,593,593,3,0,0,4,18,48,4,14
182,182,PLATINUM II,Sylas,False,6,2,7,MIDDLE,126,8853,0,23719,33184,2,0,2039,5684,3,0,0,1,12,22,14,4
183,183,PLATINUM III,Ashe,False,3,1,6,BOTTOM,181,8981,0,12966,18645,0,0,996,1708,0,0,2,0,9,18,7,4
184,184,PLATINUM III,Graves,False,1,5,7,JUNGLE,33,8090,0,10504,18134,1,0,1330,14929,3,0,100,5,3,23,4,11
185,185,PLATINUM III,Volibear,True,2,7,3,TOP,207,10477,0,16389,22596,5,0,8505,8505,2,1,0,0,10,15,12,4
186,186,PLATINUM III,Hecarim,True,13,14,0,JUNGLE,37,13951,3,22203,29255,3,0,723,18249,4,1,148,4,5,24,6,11
187,187,PLATINUM I,Yasuo,True,1,3,6,MIDDLE,180,10498,1,14461,19969,5,0,5929,23174,0,0,41,5,6,16,14,4
188,188,PLATINUM III,Lucian,True,14,10,3,BOTTOM,173,14256,0,31488,18052,3,0,4081,5520,0,1,8,2,7,13,7,4
189,189,PLATINUM II,Sona,True,0,22,2,UTILITY,10,7067,0,7339,13201,4,0,944,2496,3,1,0,7,16,50,14,4
190,190,DIAMOND III,Riven,True,13,7,3,TOP,224,19537,0,35624,37453,8,0,13925,23306,5,3,28,6,10,29,14,4
191,191,PLATINUM II,Talon,True,8,8,6,JUNGLE,59,17232,3,21085,38264,3,1,2868,51279,3,3,196,4,4,43,4,11
192,192,PLATINUM I,Katarina,True,3,12,9,MIDDLE,179,13519,0,27533,39340,2,0,1657,3416,1,2,29,4,5,19,14,4
193,193,PLATINUM II,Jhin,True,7,7,6,BOTTOM,180,14320,1,15378,20144,3,1,4283,25585,3,1,28,3,13,32,3,4
194,194,PLATINUM IV,Lulu,True,4,9,7,UTILITY,5,9184,0,6738,18807,2,0,1265,3783,2,2,0,4,32,74,14,4
